코드	파일수	기정독동일계열	원료명
610871	4	0	스위스알파인허브(SWISS ALPINE HERB)
610881	3	0	SYMDIOL 68T
610885	4	0	셀틱워터
610886	3	0	SYN AKE
610901	4	0	SOLANUM LYCOPERSICUM(TOMATO)FRUIT JUICE
610906	4	0	서양장미꽃수-PA
610914	3	0	SHARON BRILLIANT GOLD 7001S
610931	3	0	수용성 라놀린
610933	4	0	SOME™ PGA-BG5
610961	4	0	SKOLOR ONYX BLACK 1010S
611003	4	0	사해소금
611022	4	0	TOTAROL
611026	4	0	TEA TREE EXTRACT(티트리추출물80％)
611027	3	0	TRA SCRUB BK 10
611035	4	0	TOMATO EXTRACT SOLUTION(P)
611041	4	0	TRA SCRUB WHITE
611042	4	0	TRA SCRUB CORAL
611045	3	0	T.W-앰플COMPLEX(H)
611051	4	0	TEA TREE OIL(PENTA)
611056	4	0	토마토추출물-WHD
611069	4	0	은방울꽃 EXTRACT(HD)
611084	4	0	VITIS VINIFERA (GRAPE) FRUIT WATER(P)
611099	3	0	WITCH HAZEL EXTRACT SOLUTION(P)
611122	4	0	율무파우더500
611215	3	0	Blackberry-0062w
611219	4	0	BLACK-335W
611221	4	0	BOC 23
611227	3	0	CRYSTAL-327B
611228	3	0	CLEANSING CARE B21191
611234	4	0	BM 6 NAT
611236	4	0	COOL WATER-265W
611246	3	0	DOLLY-83B
611256	4	0	ENTAL-510W
611257	3	0	ETKB-127J
611258	3	0	EDKB-052J
611260	3	0	EYKB-143J
611269	4	0	FRAG-29803
611281	4	0	FRAG-62264
611285	3	0	FRAG-41255
611286	3	0	FRAG-62557
611293	3	0	FRAG-50704
611304	3	0	GREEN T-74B
611306	4	0	GOAT U-130W
611307	3	0	GDK-31102
611308	3	0	GDK-14256
611310	3	0	GDK-39993
611311	3	0	GDK-04
611312	4	0	GDK-83930
611315	3	0	Golden Kiwi-6W
611326	3	0	HP-316241
611327	3	0	HP-316821
611328	4	0	WHO HISTORY FI6013330
611331	3	0	HP-306670
611336	3	0	HERB LH-6B
611341	4	0	HP-31971
611346	3	0	IN BLOOM FZ9017683
611353	4	0	KXCYW0013(FQ6004336)
611358	4	0	LNB-656B
611359	3	0	LAVENDER H-9B
611363	4	0	LIP CARE 80759
611376	4	0	MY OCEAN FX8014347
611377	3	0	Mandarin BW-7B
